exchange,symbol,company_name,year,quarter,conference_date,date,has_transcript
NASDAQ,AVGO,Broadcom Inc.,2024,1,2024-03-07 17:00:00,2024-03-07,YES
NASDAQ,AVGO,Broadcom Inc.,2023,4,2023-12-07 17:00:00,2023-12-07,NO
NASDAQ,AVGO,Broadcom Inc.,2023,3,2023-08-31 17:00:00,2023-08-31,NO
NASDAQ,AVGO,Broadcom Inc.,2023,2,2023-06-01 17:00:00,2023-06-01,NO
NASDAQ,AVGO,Broadcom Inc.,2023,1,2023-03-02 14:00:00,2023-03-02,NO
NASDAQ,AVGO,Broadcom Inc.,2022,4,2022-12-08 17:00:00,2022-12-08,NO
NASDAQ,AVGO,Broadcom Inc.,2022,3,2022-09-01 17:00:00,2022-09-01,NO
NASDAQ,AVGO,Broadcom Inc.,2022,2,2022-06-02 17:00:00,2022-06-02,NO
NASDAQ,AVGO,Broadcom Inc.,2022,1,2022-03-03 14:00:00,2022-03-03,NO
NASDAQ,AVGO,Broadcom Inc.,2021,4,2021-12-09 17:00:00,2021-12-09,NO
NASDAQ,AVGO,Broadcom Inc.,2021,3,2021-09-02 14:00:00,2021-09-02,NO
NASDAQ,AVGO,Broadcom Inc.,2021,2,2021-06-03 14:00:00,2021-06-03,NO
NASDAQ,AVGO,Broadcom Inc.,2021,1,2021-03-04 14:00:00,2021-03-04,NO
NASDAQ,AVGO,Broadcom Inc.,2020,4,2020-12-12 08:00:00,2020-12-12,NO
NASDAQ,AVGO,Broadcom Inc.,2020,3,2021-09-02 08:30:00,2021-09-02,NO
NASDAQ,AVGO,Broadcom Inc.,2020,2,2020-06-04 08:00:00,2020-06-04,NO
NASDAQ,AVGO,Broadcom Inc.,2020,1,2024-03-12 17:00:00,2024-03-12,NO
NASDAQ,AVGO,Broadcom Inc.,2019,4,2019-12-12 17:00:00,2019-12-12,NO
NASDAQ,AVGO,Broadcom Inc.,2019,3,2019-09-12 17:00:00,2019-09-12,NO
NASDAQ,AVGO,Broadcom Inc.,2019,2,2019-06-13 17:00:00,2019-06-13,NO
NASDAQ,AVGO,Broadcom Inc.,2019,1,2019-03-14 17:00:00,2019-03-14,NO
NASDAQ,TSLA,"Tesla, Inc. ",2025,2,2025-07-23 17:30:00,2025-07-23,YES
NASDAQ,TSLA,"Tesla, Inc. ",2025,1,2025-04-22 17:30:00,2025-04-22,YES
NASDAQ,TSLA,"Tesla, Inc. ",2024,4,2025-01-29 17:30:00,2025-01-29,YES
NASDAQ,TSLA,"Tesla, Inc. ",2024,3,2024-10-23 17:30:00,2024-10-23,YES
NASDAQ,TSLA,"Tesla, Inc. ",2024,2,2024-07-23 17:30:00,2024-07-23,YES
NASDAQ,TSLA,"Tesla, Inc. ",2024,1,2024-04-23 17:30:00,2024-04-23,YES
NASDAQ,TSLA,"Tesla, Inc. ",2023,4,2024-01-24 17:30:00,2024-01-24,NO
NASDAQ,TSLA,"Tesla, Inc. ",2023,3,2023-10-18 17:30:00,2023-10-18,NO
NASDAQ,TSLA,"Tesla, Inc. ",2023,2,2023-07-19 17:30:00,2023-07-19,NO
NASDAQ,TSLA,"Tesla, Inc. ",2023,1,2023-04-19 17:30:00,2023-04-19,NO
NASDAQ,TSLA,"Tesla, Inc. ",2022,4,2023-01-25 17:30:00,2023-01-25,NO
NASDAQ,TSLA,"Tesla, Inc. ",2022,3,2022-10-19 16:30:00,2022-10-19,NO
NASDAQ,TSLA,"Tesla, Inc. ",2022,2,2022-07-20 08:00:00,2022-07-20,NO
NASDAQ,TSLA,"Tesla, Inc. ",2022,1,2022-04-20 16:30:00,2022-04-20,NO
NASDAQ,TSLA,"Tesla, Inc. ",2021,4,2022-01-26 17:30:00,2022-01-26,NO
NASDAQ,TSLA,"Tesla, Inc. ",2021,3,2021-10-20 16:30:00,2021-10-20,NO
NASDAQ,TSLA,"Tesla, Inc. ",2021,2,2021-07-26 14:30:00,2021-07-26,NO
NASDAQ,TSLA,"Tesla, Inc. ",2021,1,2021-04-26 14:30:00,2021-04-26,NO
NASDAQ,TSLA,"Tesla, Inc. ",2020,4,2022-01-27 14:30:00,2022-01-27,NO
NASDAQ,TSLA,"Tesla, Inc. ",2020,3,2021-10-21 14:30:00,2021-10-21,NO
NASDAQ,TSLA,"Tesla, Inc. ",2020,2,2020-07-22 17:30:00,2020-07-22,NO
NASDAQ,TSLA,"Tesla, Inc. ",2020,1,2020-04-29 18:30:00,2020-04-29,NO
NASDAQ,TSLA,"Tesla, Inc. ",2019,4,2020-01-29 14:30:00,2020-01-29,NO
NASDAQ,TSLA,"Tesla, Inc. ",2019,3,2019-10-23 14:30:00,2019-10-23,NO
NASDAQ,TSLA,"Tesla, Inc. ",2019,2,2019-06-24 14:30:00,2019-06-24,NO
NASDAQ,TSLA,"Tesla, Inc. ",2019,1,2019-04-24 14:30:00,2019-04-24,NO
NASDAQ,TSLA,"Tesla, Inc. ",2018,4,2019-01-30 14:30:00,2019-01-30,NO
